Division,Gender,Base Salary
Council Central Staff,M,149786.4
Council Members and Staff,F,166461.38
Council Central Staff,F,75290
Council Central Staff,F,75290
Council Central Staff,F,167345
Council Members and Staff,F,75290
Council Central Staff,F,56044.97
Council Central Staff,F,75290
Council Members and Staff,M,140371.07
Council Central Staff,F,99852
Council Members and Staff,F,95070.04
Council Central Staff,F,65878.75
Council Central Staff,F,73848.22
Council Central Staff,F,126584
Council Central Staff,F,167345
Council Central Staff,M,99852
Council Members and Staff,F,140460.72
Council Central Staff,F,126584
Council Central Staff,F,35149.5
Council Central Staff,M,62488
Council Central Staff,M,167345
Council Central Staff,M,99594.03
Council Central Staff,F,120703.89
Council Central Staff,F,93149.35
Council Central Staff,F,112566
Council Members and Staff,M,161908.9
Council Members and Staff,F,71163.97
Council Members and Staff,F,125000
Council Members and Staff,M,140371.07
Council Central Staff,M,83513.26
Council Members and Staff,M,140371.07
Council Members and Staff,F,127812.5
Council Central Staff,M,160900.71
Council Members and Staff,F,66352.94
Council Members and Staff,M,120536.93
Council Members and Staff,F,86498.16
Council Central Staff,M,96109.06
Council Central Staff,M,140075.29
Council Central Staff,M,126584
Council Members and Staff,M,79182.85
Council Members and Staff,M,57271.92
Council Members and Staff,M,140371.07
Council Members and Staff,M,154408.18
Council Members and Staff,M,120000
Council Members and Staff,M,67479.14
Council Members and Staff,F,77795.52
Council Members and Staff,F,31441.07
Council Members and Staff,M,48933.12
Council Members and Staff,F,56288.38
Council Members and Staff,M,74428.79
Council Central Staff,F,97525.61
Council Members and Staff,F,57260
Council Members and Staff,M,82146.01
Council Members and Staff,M,59258.1
Council Central Staff,F,113603.72
Council Members and Staff,M,51570.74
Council Members and Staff,F,61350
Council Members and Staff,M,41882.36
Council Central Staff,M,67791.75
Council Central Staff,F,99852
Council Central Staff,F,98230.25
Council Members and Staff,F,59831.94
Council Members and Staff,M,48575.4
Council Members and Staff,M,150000
Council Members and Staff,F,110000
Council Members and Staff,M,140371.07
Council Members and Staff,M,140371.07
Council Members and Staff,M,140371.07
Council Central Staff,F,146217.5
Council Members and Staff,F,45000
Council Members and Staff,M,49591.25
Council Members and Staff,M,67293.28
Council Members and Staff,F,79037.31
Council Members and Staff,F,33742.5
Council Members and Staff,F,56237.5
Council Central Staff,F,66462.5
Council Members and Staff,F,84867.5
Council Members and Staff,M,45000
Council Members and Staff,F,46012.5
Council Central Staff,F,127812.5
Council Members and Staff,M,44000
Council Central Staff,F,43967.5
Council Central Staff,F,59333.63
Council Members and Staff,F,47847.89
Council Central Staff,F,146217.5
Regional Services Centers,M,166787
Community Engagement Cluster,F,107346
Gilchrist Center,F,92059.96
Business Management,F,90848
Regional Services Centers,F,186735.34
Wheaton Urban District,M,109761
Regional Services Centers,M,171648
Regional Services Centers,M,168282
Wheaton Urban District,M,50537.37
Wheaton Urban District,M,64459.66
Wheaton Urban District,M,62953.84
Community Partnerships,F,96609.19
Regional Services Centers,M,185494.05
Wheaton Urban District,M,54407
Wheaton Urban District,F,104680
Silver Spring Urban District,M,52990.74
Silver Spring Urban District,F,58481.92
Community Partnerships,F,109761
Wheaton Urban District,M,54407
Community Partnerships,M,176837
Silver Spring Urban District,M,75290
Silver Spring Urban District,M,48169.32
Silver Spring Urban District,M,76884.55
Silver Spring Urban District,M,109761
Community Partnerships,F,95245.89
Silver Spring Urban District,M,48414.6
Silver Spring Urban District,M,54407
Wheaton Urban District,M,54407
Silver Spring Urban District,M,60142.19
Silver Spring Urban District,F,54407
Silver Spring Urban District,M,75290
Wheaton Urban District,M,65211.82
Silver Spring Urban District,M,75290
Silver Spring Urban District,M,44965.96
Gilchrist Center,F,52893.21
Silver Spring Urban District,M,41975.18
Silver Spring Urban District,M,46540.16
Wheaton Urban District,M,53797.05
Silver Spring Urban District,F,41955.34
Silver Spring Urban District,M,45187.48
Silver Spring Urban District,M,48432.43
Silver Spring Urban District,M,41051.52
Silver Spring Urban District,M,44965.96
Silver Spring Urban District,M,43445.3
Wheaton Urban District,M,40797.75
Community Partnerships,F,150000
Wheaton Urban District,M,47862.31
Silver Spring Urban District,M,43659.33
Silver Spring Urban District,M,43659.35
Silver Spring Urban District,M,41975.18
Silver Spring Urban District,F,41975.18
Silver Spring Urban District,M,41975.19
Wheaton Urban District,M,45048.61
Wheaton Urban District,F,43659.99
Gilchrist Center,F,44801.26
Community Engagement Cluster,M,126584
Community Engagement Cluster,M,61757.13
Wheaton Urban District,M,51593.7
Silver Spring Urban District,M,42183.57
Gilchrist Center,M,45941.1
Silver Spring Urban District,F,69908.06
Wheaton Urban District,M,42181.68
Commission for Women,F,161280.48
Gilchrist Center,F,22193.77
Regional Services Centers,F,161200
Wheaton Urban District,M,41695.09
Wheaton Urban District,M,44554.18
Silver Spring Urban District,M,38047.73
Silver Spring Urban District,M,36580.26
Silver Spring Urban District,F,38047.73
Silver Spring Urban District,M,38047.73
Wheaton Urban District,M,40296.37
Bethesda Urban District,M,80822.67
Council Members and Staff,M,95092.5
Silver Spring Urban District,M,35342.58
Gilchrist Center,F,36868.73
Gilchrist Center,M,22970.55
Wheaton Urban District,M,42183.56
Gilchrist Center,F,34542.5
Gilchrist Center,F,20718.12
Wheaton Urban District,M,39468.5
Community Partnerships,F,95092.5
Community Engagement Cluster,M,102250
Chief Administrative Officer's Office,F,187233
Chief Administrative Officer's Office,F,78902
Chief Administrative Officer's Office,F,78902
Chief Administrative Officer's Office,F,144734.41
Chief Administrative Officer's Office,F,172376
County Executive,M,201004.79
County Executive's Office,M,122300
Chief Administrative Officer's Office,F,83100
Chief Administrative Officer's Office,M,303091
County Executive's Office,F,90848
County Executive's Office,F,122300
Chief Administrative Officer's Office,F,35926
Chief Administrative Officer's Office,F,35926
Chief Administrative Officer's Office,F,78902
Chief Administrative Officer's Office,F,134959.5
County Executive's Office,F,70000
Chief Administrative Officer's Office,M,159432
County Executive's Office,F,155000
County Executive's Office,M,155000
Chief Administrative Officer's Office,F,170687
Chief Administrative Officer's Office,F,86669
Chief Administrative Officer's Office,M,109761
Chief Administrative Officer's Office,M,170000
CountyStat,M,167214.07
Chief Administrative Officer's Office,F,117578.84
CountyStat,M,94576.24
Chief Administrative Officer's Office,F,170687
Internal Audit,M,167345
Chief Administrative Officer's Office,M,176800
Chief Administrative Officer's Office,M,142608.09
CountyStat,M,85089.43
Chief Administrative Officer's Office,F,67204.5
CountyStat,M,58845.73
Chief Administrative Officer's Office,F,16731.53
Chief Administrative Officer's Office,M,84456
Chief Administrative Officer's Office,M,280000
Chief Administrative Officer's Office,F,62372.5
CountyStat,F,82000
County Executive's Office,F,70000
CountyStat,F,76687.5
Chief Administrative Officer's Office,F,165000
Chief Administrative Officer's Office,M,165000
Chief Administrative Officer's Office,F,165000
Chief Administrative Officer's Office,M,71575
Chief Administrative Officer's Office,M,164622.5
MSD Fiscal Services,F,115647.75
MSD Fiscal Services,F,99852
DS Health Services,F,71852
MSD Fiscal Services,F,71852
DO Director,F,78902
MSD Fiscal Services,F,104610.55
DS Food Services,F,71852
MSD Human Resources,F,116159
PTS Assessment,F,115099
DS MCCF Custody and Security,M,144751
DS Health Services,M,167345
MSD Fiscal Services,F,71852
DS Detention Services,F,165578.56
MSD Management Services Division,F,167345
DO Director,M,206000
PTS Pre-Trial Services,F,206000
MSD Information Technology,M,113681.54
DS Intake Classification and Re-Entry Services,M,102378.52
MSD Information Technology,F,138790
DS Facility Operations Management,M,62488
PTS Supervision,M,104680
DS MCCF Case Managers Unit 2,F,93350.01
DS MCCF Unit 1 Security,M,85567
DS MCCF Unit 3 Security,M,83684
DS MCCF Educational Services,F,99852
DS MCCF Facilities Maintenance,M,66552.91
PRRS Reentry Services and Programs,M,144751
DS Programs and Services,F,144751
DS MCCF Unit 3 Security,F,107643.16
DS MCCF Unit 3 Security,M,70159
PTS Supervision,M,85567
MSD Information Technology,M,126584
DS MCCF Unit 3 Security,M,77175
DS MCDC Intake/Release Operations,M,118412.56
MSD Training and Staff Development,F,99852
DS MCCF Unit 2 Security,M,107648
DS MCDC Custody and Security,M,107648
DS MCCF Unit 3 Security,M,118414
DS MCCF Unit 3 Security,M,107648
DS MCCF Unit 2 Security,M,77175
DS MCCF Unit 1 Security,M,95707
DS MCCF Unit 1 Security,M,75161
DS MCCF Unit 1 Security,F,85567
DS Health Services,F,102377
DS Food Services,M,58206.75
DS MCCF Unit 3 Security,M,97860
PRRS Facility and Security,M,72036.04
DS Facility Operations Management,F,141566
DS Food Services,F,74063.77
DS MCDC Custody and Security,F,91351
DS MCCF Case Managers Unit 3,F,109761
DS MCDC Central Processing Unit,M,77792
PRRS Reentry Services and Programs,M,104680
DS MCCF Unit 1 Security,M,107648
DS MCCF Unit 1 Security,M,69607
DS MCDC Custody and Security,M,85567
DS Inmate Records,M,75290
DS MCDC Custody and Security,M,105279
PTS Alternative Community Services,F,95236
DS MCCF Unit 3 Security,F,91351
DS Food Services,M,69139.07
PTS ACS Work Crew,M,85567
DS MCDC Custody and Security,M,85567
DS Health Services,F,104680
MSD Human Resources,F,90848
DS MCDC Central Processing Unit,M,85567
DS Health Services,F,78902
DS Health Services,F,104680
DS Inmate Records,F,75290
DS MCCF Unit 2 Security,M,77175
DS MCCF Unit 2 Security,F,97860
DS MCCF Unit 3 Security,M,85567
DS MCCF Unit 3 Security,F,85567
DS MCCF Unit 3 Security,F,82673
DS MCCF Facilities Maintenance,M,77175
DS Inmate Records,M,66796.72
DS Inmate Records,F,99265.3
DS MCDC Custody and Security,M,79879
PTS Supervision,F,82014.66
DS MCDC Custody and Security,M,63278
DS MCCF Case Managers Unit 3,M,95236
DS MCDC Custody and Security,M,85277
DS MCDC Custody and Security,M,77792
PTS Pre-Trial Services,F,90848
PRRS Assessment and Quality Services,M,113118.71
DS MCCF Unit 1 Security,M,97086.42
PRRS Facility and Security,M,95236
DS MCCF Unit 1 Security,M,85567
PRRS Facility and Security,M,84611.49
DS MCCF Unit 1 Security,F,67787
DS Intake Classification and Re-Entry Services,F,95236
DS MCDC Custody and Security,M,85567
DS Health Services,F,104680
PTS Intervention Program for Substance Abusers,F,65464
DS MCDC Custody and Security,M,77792
DS MCCF Case Managers Unit 1,F,109761
DS Inmate Records,F,62354.52
DS MCDC Custody and Security,M,74566
DS Health Services,F,78902
DS MCCF Unit 1 Security,M,85567
DS MCCF Unit 2 Security,M,85567
DS MCCF Unit 3 Security,M,97860
DS MCCF Unit 1 Security,M,97860
DS MCCF Unit 3 Security,M,97860
DS Food Services,M,74063.77
DS MCCF Unit 3 Security,M,85567
DS MCCF Unit 1 Security,M,85567
PTS Supervision,M,107599.57
DS Health Services,F,109761
DS MCCF Facilities Maintenance,M,85567
DS MCCF Case Managers Unit 1,F,95236
DS MCCF Unit 2 Security,M,79879
DS MCCF Unit 1 Security,M,107648
DS Food Services,M,74063.77
PTS Diversion Services,M,120129.8
DS MCCF Case Managers Unit 3,F,95236
DS MCDC Inmate Property,M,74566
DS Food Services,M,69984.54
DS MCDC Custody and Security,M,82673
MSD Management Services Division,F,71852
DS MCDC Central Processing Unit,M,72618
DS MCCF Unit 3 Security,M,97860
DS MCCF Unit 3 Security,M,85567
DS Inmate Records,F,75290
PRRS Facility and Security,M,79955.28
DS MCCF Unit 2 Security,M,72042
DS MCDC Central Processing Unit,M,77175
DS MCCF Unit 2 Security,M,107648
DS MCDC Custody and Security,F,107648
PRRS Facility and Security,M,95236
DS MCCF Unit 2 Security,M,79879
DS MCCF Unit 1 Security,M,72042
PRRS Facility and Security,M,95236
DS MCDC Central Processing Unit,M,82673
DS Inmate Records,M,62354.52
DS MCDC Custody and Security,M,74566
DS MCDC Central Processing Unit,F,118414
PTS Supervision,F,144751
DS MCCF Unit 1 Security,M,107648
DS MCCF Unit 1 Security,M,97860
DS MCCF Unit 1 Security,M,97860
DS MCDC Custody and Security,M,85567
DS MCCF Unit 3 Security,M,95707
PRRS Facility and Security,M,89618.13
DS MCCF Unit 1 Security,F,85567
DS Food Services,M,78902
DS MCDC Custody and Security,F,97860
DS MCCF Unit 1 Security,M,85567
PRRS Reentry Services and Programs,F,81520.24
DS MCDC Custody and Security,M,74566
DS MCCF Unit 1 Security,F,67787
DS Gang Intelligence,M,77792
DS MCCF Unit 2 Security,M,85567
DS MCCF Unit 3 Security,M,78121
DS MCDC Central Processing Unit,M,97860
DS MCDC Custody and Security,F,77792
DS MCDC Custody and Security,F,83684
DS MCDC Custody and Security,F,74566
DS MCCF Unit 3 Security,F,79879
DS MCCF Unit 1 Security,M,94550
DS MCCF Unit 3 Security,F,77175
DS MCCF Unit 1 Security,M,97860
DS Food Services,M,66796.38
DS MCCF Unit 1 Security,M,82392
DO Professional Standards Unit,M,97860
DS MCCF Unit 1 Security,F,85567
DS MCCF Unit 3 Security,M,77792
DS MCCF Unit 2 Security,M,83684
DS MCDC Central Processing Unit,M,88263
DS MCCF Unit 2 Security,M,72042
PRRS Facility and Security,M,64697.27
DS MCCF Unit 1 Security,M,85567
DS Health Services,M,104680
DS MCDC Custody and Security,F,74566
DS MCCF Unit 3 Security,M,79606
DS MCDC Central Processing Unit,F,77175
DS MCDC Custody and Security,F,85567
DS MCCF Unit 1 Security,M,97860
DS MCDC Custody and Security,M,85567
DS MCDC Custody and Security,M,79879
DS Intake Classification and Re-Entry Services,F,108913.61
PRRS Assessment and Quality Services,F,104680
DS MCDC Custody and Security,M,68075
DS Health Services,F,103132.87
PTS Supervision,F,104680
DS MCCF Unit 2 Security,M,85567
PTS Alternative Community Services,M,76560.23
DS MCCF Unit 1 Security,M,107648
DS MCDC Custody and Security,M,67787
DS MCCF Unit 3 Security,M,95707
DS MCDC Custody and Security,M,77175
DS MCDC Custody and Security,M,85567
DS MCCF Unit 3 Security,F,77175
DS MCCF Unit 2 Security,M,85567
PTS Supervision,F,104680
DS MCCF Unit 2 Security,M,72042
PTS Supervision,M,102039.9
DS MCCF Unit 3 Security,M,85567
DS MCDC Custody and Security,M,107648
DS MCCF Unit 2 Security,M,74566
DS Health Services,M,104680
DS MCCF Unit 2 Security,M,97860
PTS Pre-Trial Services,F,65464
PRRS Reentry Services and Programs,M,87647.49
DS MCDC Custody and Security,F,77175
DS MCCF Unit 1 Security,M,82673
DS MCDC Central Processing Unit,M,65494
DS MCCF Unit 3 Security,M,85567
PTS Supervision,F,104680
PRRS Facility and Security,M,86590.59
DS Intake Classification and Re-Entry Services,F,82626.17
DS MCDC Custody and Security,F,72042
DS MCDC Custody and Security,M,85277
DS MCCF Custody and Security,M,107648
DS MCCF Unit 1 Security,F,85567
MSD Training and Staff Development,M,94550
PTS Supervision,M,104680
DS Food Services,F,95236
DS MCDC Custody and Security,M,78121
DS MCDC Central Processing Unit,F,107646.45
DS MCDC Custody and Security,M,82673
DS MCCF Unit 3 Security,M,76080
DS MCDC Central Processing Unit,M,85567
DS MCCF Unit 2 Security,F,97860
DS MCDC Central Processing Unit,M,74566
DS MCCF Unit 1 Security,F,107648
DS MCCF Unit 1 Security,M,85567
PTS Supervision,M,104680
DS MCDC Custody and Security,F,72042
DS MCDC Central Processing Unit,M,75161
DS MCCF Case Managers Unit 1,M,95236
DS MCCF Unit 2 Security,M,77792
MSD Information Technology,F,139205.28
DS Health Services,F,78902
DS MCCF Unit 1 Security,M,97860
DS Health Services,F,61113
DS MCDC Custody and Security,M,85567
DS MCCF Unit 3 Security,M,107648
DS Food Services,M,64536.13
DS MCCF Unit 1 Security,M,97860
DS MCDC Intake/Release Operations,F,63413.82
DS MCDC Custody and Security,M,77792
DS MCCF Unit 1 Security,M,65494
DS MCDC Custody and Security,M,72925
DS Food Services,M,58206.04
DS MCCF Unit 1 Security,M,97860
DS MCDC Custody and Security,M,77175
DS MCCF Case Managers Unit 2,F,86796.92
DS Health Services,F,104680
DS MCCF Unit 2 Security,M,118414
DS MCCF Unit 3 Security,F,82673
PTS Assessment,F,79728.75
DS Inmate Records,M,132849.51
DS MCCF Unit 2 Security,M,79879
DS MCDC Custody and Security,M,107648
DS MCDC Custody and Security,F,97860
DS MCDC Central Processing Unit,M,85567
DS MCDC Intake/Release Operations,M,144751
DS Food Services,F,74063.77
DS MCDC Custody and Security,M,85567
DS Gang Intelligence,M,95707
DO Professional Standards Unit,M,118414
DS Health Services,F,115099
DS MCDC Custody and Security,F,85567
DS MCDC Central Processing Unit,M,97860
DS MCDC Custody and Security,M,115808
DS MCCF Unit 1 Security,M,69607
DS MCCF Unit 3 Security,M,85567
DS MCCF Unit 1 Security,M,115808
PRRS Reentry Services and Programs,M,80825.76
PTS Supervision,F,77811.87
DS Inmate Records,F,73633
PTS Alternative Community Services,M,95236
DS MCDC Custody and Security,M,85567
DS MCCF Unit 2 Security,M,69607
DS MCCF Unit 1 Security,M,97860
PRRS Facility and Security,M,115489.93
DS MCDC Custody and Security,M,74566
DS MCDC Custody and Security,F,79879
DS MCCF Unit 3 Security,M,85567
DS MCCF Unit 1 Security,F,82673
DS Intake Classification and Re-Entry Services,M,97860
DS Health Services,F,104680
DS MCCF Unit 3 Security,M,97860
DS MCCF Case Managers Unit 1,F,91314
DS MCDC Custody and Security,M,72042
DS MCDC Custody and Security,M,77175
PRRS Facility and Security,M,95236
PRRS Assessment and Quality Services,M,102377
DS MCCF Unit 1 Security,F,74566
DS MCCF Unit 2 Security,F,88263
DS MCDC Custody and Security,M,69607
"MSD Employee Health, Welfare and Safety",M,99852
DS MCDC Central Processing Unit,F,97860
DS MCCF Case Managers Unit 2,M,93140
PRRS Facility and Security,M,95236
DS MCCF Unit 2 Security,F,85567
DS MCCF Unit 1 Security,F,97860
PTS Supervision,F,104680
DS MCDC Central Processing Unit,M,77792
DS Inmate Records,F,75290
DS MCCF Unit 3 Security,F,97860
DS MCDC Custody and Security,M,85567
DS Food Services,F,95236
DS Health Services,F,104680
DS MCCF Unit 2 Security,F,107648
DS MCCF Unit 3 Security,F,72042
DS MCCF Unit 3 Security,M,100484.18
DS MCCF Unit 3 Security,F,85567
DS MCDC Custody and Security,F,85567
DS MCCF Unit 1 Security,F,85567
DS MCCF Unit 3 Security,M,85567
DS MCCF Unit 1 Security,M,107648
DS MCCF Unit 2 Security,M,107648
DS MCDC Custody and Security,M,95707
DS MCCF Unit 1 Security,F,94550
DS MCCF Unit 1 Security,F,85567
DS MCDC Custody and Security,M,69607
PTS Supervision,F,80535.31
DS MCCF Unit 2 Security,M,47362
PRRS Facility and Security,M,66961.67
DS Detention Services,M,40939.99
DS MCCF Unit 3 Security,M,57071
DS MCCF Case Managers Unit 3,F,64189.01
DS Health Services,F,69371.82
DS Health Services,F,78844.33
DS Health Services,M,76482.28
DS MCDC Custody and Security,M,53276
DS Food Services,M,58206.61
DS Health Services,M,88965.72
DS MCCF Unit 3 Security,M,69607
PTS Alternative Community Services,F,70923.92
PRRS Facility and Security,M,76563.44
DS MCDC Custody and Security,M,69607
PTS Intervention Program for Substance Abusers,F,70813.04
MSD Procurement and Contracts,F,86661.69
PTS Assessment,F,70738.07
DS MCCF Unit 3 Security,F,67252
PRRS Facility and Security,F,64697.37
DS Inmate Records,F,46882.49
DS MCCF Unit 2 Security,M,67252
DS MCCF Unit 1 Security,M,74312
DS MCDC Custody and Security,F,69607
DS MCCF Unit 2 Security,M,69607
DS MCCF Unit 1 Security,F,69607
DS MCCF Unit 1 Security,M,69607
DS MCCF Unit 3 Security,M,69607
DS MCCF Unit 1 Security,M,63278
DS MCCF Custody and Security,F,52303.54
PRRS Facility and Security,M,67247.68
DS MCDC Custody and Security,M,74312
DS MCCF Unit 2 Security,M,67252
DS MCCF Unit 2 Security,M,67252
DS MCDC Custody and Security,M,67252
DS Food Services,M,58206.61
MSD Fiscal Services,F,109761
DS MCDC Custody and Security,M,67252
DS MCCF Unit 2 Security,M,67252
MSD Fiscal Services,F,68220.01
DS MCCF Unit 1 Security,M,67252
PRRS Facility and Security,F,61134.01
DS MCCF Unit 3 Security,M,67252
PTS Intervention Program for Substance Abusers,M,49526.68
PTS Supervision,M,89480.1
DS MCCF Unit 1 Security,M,61138
DS MCDC Central Processing Unit,M,68024
DS MCCF Unit 1 Security,M,61138
DS Food Services,F,112566
DS MCDC Custody and Security,F,67252
DS MCDC Custody and Security,F,61138
DS MCCF Case Managers Unit 3,F,71167.09
DS MCDC Custody and Security,F,67252
PTS ACS Work Crew,M,67252
DS MCDC Custody and Security,M,61138
PTS Assessment,F,66434.95
DS MCCF Unit 3 Security,M,67252
PRRS Facility and Security,M,62509.24
DS MCDC Custody and Security,M,64977
DS MCCF Unit 1 Security,M,64977
PRRS Facility and Security,M,62509.52
DS MCCF Unit 2 Security,M,64977
DS MCDC Custody and Security,M,64977
PRRS Facility and Security,M,50338.52
DS MCDC Custody and Security,M,57771
DS MCCF Unit 1 Security,M,64977
DS MCCF Unit 2 Security,F,64977
DS MCDC Custody and Security,M,64977
DS Health Services,F,82532.82
MSD Fiscal Services,M,51978.36
DS MCCF Unit 3 Security,M,64977
DS MCCF Unit 1 Security,M,62779
DS MCDC Custody and Security,F,62779
DS MCDC Custody and Security,F,57071
MSD Fiscal Services,F,99852
DS MCCF Unit 3 Security,M,62779
DS MCCF Unit 2 Security,M,55815
DS MCCF Unit 2 Security,F,57071
DS MCCF Unit 2 Security,M,62779
DS MCCF Unit 1 Security,M,62779
DS MCCF Unit 2 Security,F,57071
DS MCCF Unit 2 Security,M,55141
DS Food Services,M,55124.29
DS MCDC Custody and Security,F,62779
DS Health Services,F,81719.66
DS MCCF Unit 2 Security,M,52776
DS MCCF Unit 3 Security,M,55141
DS MCCF Unit 3 Security,F,57898.06
DS Food Services,M,53260.24
PRRS Facility and Security,F,60349.04
DS Health Services,M,77764.91
PRRS Reentry Services and Programs,F,70021.66
DS MCCF Unit 1 Security,M,60655
DS Intake Classification and Re-Entry Services,F,86531.38
DS MCCF Unit 3 Security,F,55141
DS MCCF Unit 1 Security,F,60655
DS MCDC Custody and Security,M,60655
DS MCCF Unit 1 Security,F,53276
DS MCCF Unit 1 Security,M,55141
DS Health Services,F,90765.49
PRRS Reentry Services and Programs,F,70021.67
PRRS Reentry Services and Programs,F,70021.67
DS MCCF Unit 3 Security,M,55141
DS MCCF Unit 3 Security,M,55141
DS MCCF Case Managers Unit 3,F,65365.42
PRRS Facility and Security,F,57896.96
DS MCDC Custody and Security,M,60655
DO Director,F,96606.96
DS MCCF Unit 1 Security,F,58604
DS MCDC Central Processing Unit,M,58604
PRRS Facility and Security,M,52100.37
DS MCCF Unit 1 Security,M,53276
DS MCCF Unit 1 Security,F,53276
DS MCDC Custody and Security,M,53276
DS MCCF Unit 1 Security,M,52104
DS MCDC Custody and Security,M,53276
DS MCCF Unit 1 Security,M,53276
DS MCCF Unit 2 Security,M,53276
DS Inmate Records,F,62394.56
DS MCCF Unit 2 Security,F,53276
DS MCDC Custody and Security,M,58604
DS MCCF Unit 2 Security,M,53276
DS MCCF Unit 2 Security,M,53276
DS MCDC Central Processing Unit,M,58604
DS MCCF Unit 3 Security,M,53276
DS MCDC Custody and Security,M,58604
PRRS Facility and Security,F,56380.9
DS Health Services,F,114784.02
DS MCDC Custody and Security,F,53276
DS MCDC Central Processing Unit,M,58604
DS Health Services,F,74490.85
PRRS Reentry Services and Programs,F,67653.36
DS MCDC Custody and Security,F,53276
DS MCCF Unit 1 Security,M,53276
DS MCCF Unit 1 Security,M,53276
DS MCCF Unit 1 Security,M,58604
PRRS Assessment and Quality Services,F,44191.08
DS Health Services,F,77708.11
DS MCCF Unit 1 Security,M,58604
DS MCCF Unit 1 Security,F,53276
DS MCCF Unit 1 Security,M,58604
DS Health Services,M,83852.89
DS MCCF Unit 1 Security,M,50341
PRRS Pre-Release and Reentry Services,F,45891.28
DS MCCF Unit 1 Security,F,50737
DS MCDC Central Processing Unit,M,53276
PRRS Reentry Services and Programs,F,65365.21
DS MCCF Unit 1 Security,M,51474
PTS Intervention Program for Substance Abusers,F,56100
DS MCCF Unit 1 Security,M,51474
